[2025-07-10 14:19:34.717]  mA
[2025-07-10 14:20:08.430] Set: 59 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:08.636] Set: 43 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:08.837] Set: 33 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:09.038] Set: 38 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:09.243] Set: -8 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:09.442] Set: 2 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:09.644] Set: -5 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:09.849] Set: 84 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:10.049] Set: 79 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:10.250] Set: 87 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:10.455] Set: 21 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:10.656] Set: 24 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:10.856] Set: 19 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:11.059] Set: 20 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:11.260] Set: 15 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:11.458] Set: 26 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:11.666] Set: 88 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:11.867] Set: 86 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:12.068] Set: 89 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:12.274] Set: 16 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:12.474] Set: 8 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:12.675] Set: 14 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:12.880] Set: 43 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:13.080] Set: 38 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:13.280] Set: 47 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:13.486] Set: 68 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:13.687] Set: 75 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:13.884] Set: 62 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:14.092] Set: -13 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:14.290] Set: -13 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:14.494] Set: -11 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:14.694] Set: 58 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:14.890] Set: 70 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:15.094] Set: 63 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:15.302] Set: 23 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:20:15.505] Set: 19 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:15.700] Set: 21 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:15.907] Set: 28 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:16.111] Set: 24 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:16.311] Set: 33 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:16.516] Set: 86 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:16.716] Set: 88 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:16.919] Set: 83 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:17.124] Set: 8 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:17.324] Set: 14 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:17.524] Set: 2 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:17.724] Set: 39 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:17.924] Set: 47 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:18.129] Set: 43 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:18.334] Set: 74 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:18.537] Set: 61 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:18.739] Set: 67 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:20:18.942] Set: -7 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:19.143] Set: -14 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:19.343] Set: -11 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:19.548] Set: 56 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:19.749] Set: 54 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:19.949] Set: 59 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:20.154] Set: 43 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:20.355] Set: 48 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:20.556] Set: 37 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:20.757] Set: -8 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:20.960] Set: 5 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:21.161] Set: -1 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:21.363] Set: 67 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:21.563] Set: 80 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:21.766] Set: 75 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:21.973] Set: 31 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:22.172] Set: 22 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:22.374] Set: 26 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:20:22.578] Set: 35 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:22.778] Set: 31 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:22.975] Set: 40 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:23.183] Set: 79 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:23.386] Set: 85 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:23.587] Set: 71 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:23.789] Set: -3 V,  HV: -0 V,  I: 0.00 mA
