Time,PMON 1 (C),PMON_2 (C),PMON_3 (C),PMON_4 (C),PMON_5 (C),PMON_6 (C)
16:23:45,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:46,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:46,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:47,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:47,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:48,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:48,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:49,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:49,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:50,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:51,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:51,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:52,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:52,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:53,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:53,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:54,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:54,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:55,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:55,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:56,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:56,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:57,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:58,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:58,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:59,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:59,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:00,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:00,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:01,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:24:01,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
